,install_date,platform,lt,installs,iap_revenue,ads_revenue
298,2021-05-02,android,58,695,67.28681677573789,119.58199837384825
299,2021-05-02,ios,58,206,23.91683220205116,30.68775465899853
300,2021-05-02,android,59,691,45.10120491988885,117.54776112875243
301,2021-05-02,ios,59,201,24.549812630799057,24.95884194386872
302,2021-05-02,android,60,670,45.09965869323135,139.39698118891556
303,2021-05-02,ios,60,203,53.602559407691714,32.19254561593152
304,2021-05-02,android,61,664,56.59649166288728,91.78504500664792
305,2021-05-02,ios,61,199,78.86457331842561,17.525471916116658
306,2021-05-02,android,62,675,122.55285351604515,140.3702395014235
307,2021-05-02,ios,62,204,5.592999904751778,18.856469947316555
308,2021-05-02,android,63,668,72.77842382946169,166.83891032765996
309,2021-05-02,ios,63,221,38.488996586896775,29.012497946066333
310,2021-05-02,android,64,648,72.80480478649592,98.71092308473908
311,2021-05-02,ios,64,199,61.892838695045114,30.463289812035327
312,2021-05-02,android,65,626,118.28661520718498,109.91826810307725
313,2021-05-02,ios,65,191,48.62323256649565,32.7374778076919
314,2021-05-02,android,66,614,55.39761962183208,98.36407731945292
315,2021-05-02,ios,66,198,53.63763326569128,25.30372095151324
316,2021-05-02,android,67,598,101.07565932811778,117.86404133195902
317,2021-05-02,ios,67,179,72.8702252698127,21.358311856409273
318,2021-05-02,android,68,607,57.41435394502289,120.6089483096847
319,2021-05-02,ios,68,189,98.92660458472096,23.662667820090064
320,2021-05-02,android,69,589,94.44390532225327,125.08660736574893
321,2021-05-02,ios,69,183,20.17430964765823,17.33895388388737
322,2021-05-02,android,70,606,27.372555469742657,123.1831564323511
323,2021-05-02,ios,70,191,17.011673584425687,15.032401945656602
324,2021-05-02,android,71,584,58.749726149256105,54.17036428594929
325,2021-05-02,ios,71,174,29.92540666329813,12.351058921272852
326,2021-05-02,android,72,585,38.505013191701295,94.8910894456169
327,2021-05-02,ios,72,179,26.688226725335834,23.928225891073453
328,2021-05-02,android,73,579,30.854300108904248,98.00261233988658
329,2021-05-02,ios,73,182,52.16381081165557,21.865939933037225
330,2021-05-02,android,74,567,103.70013167636412,62.2119722580012
331,2021-05-02,ios,74,174,19.93146899449694,17.093910009200044
332,2021-05-02,android,75,557,53.49557740003037,62.676441207299376
333,2021-05-02,ios,75,168,15.058305949650883,16.918143937300556
334,2021-05-02,android,76,574,85.99721803159125,95.06262929768764
335,2021-05-02,ios,76,175,13.243880663976194,13.502026948214734
336,2021-05-02,android,77,571,205.09177576581575,118.17226897185174
337,2021-05-02,ios,77,181,20.479681750201348,23.901549880399216
338,2021-05-02,android,78,562,74.37818648782182,107.93164230226171
339,2021-05-02,ios,78,179,8.032657647084475,32.28870162858948
340,2021-05-02,android,79,556,47.8194162397362,85.49566616658831
341,2021-05-02,ios,79,179,3.3546397555446625,26.922448877612624
342,2021-05-02,android,80,546,29.92051842229712,73.27228006690166
343,2021-05-02,ios,80,185,0.0,19.596575883886544
344,2021-05-02,android,81,528,120.88022015773474,73.02046712746028
345,2021-05-02,ios,81,173,46.48474200098503,20.082398943624867
346,2021-05-02,android,82,539,45.691771419160006,63.77430425812486
347,2021-05-02,ios,82,177,41.74490342038178,16.621344889645115
348,2021-05-02,android,83,534,54.29942395728523,54.78592114952255
349,2021-05-02,ios,83,171,22.998593318832874,12.779693990412852
350,2021-05-02,android,84,520,83.88917279107743,48.01631806986279
351,2021-05-02,ios,84,175,1.387400928989172,14.361663997169671
352,2021-05-02,android,85,506,17.211501929694293,49.47041396183306
353,2021-05-02,ios,85,170,9.778832786092282,11.694718941500469
354,2021-05-02,android,86,511,37.16435382026196,47.5672460055672
355,2021-05-02,ios,86,158,0.0,13.333835898549296
356,2021-05-02,android,87,502,80.52261270688248,60.92913812118786
357,2021-05-02,ios,87,160,0.0,12.93630198986284
358,2021-05-02,android,88,498,113.41579661848188,100.66016387343825
359,2021-05-02,ios,88,154,52.024240824073786,25.59181988839555
360,2021-05-02,android,89,490,157.4276247394737,118.94178245957073
361,2021-05-02,ios,89,159,29.315836896349673,25.471247877136193
362,2021-05-02,android,90,483,95.75732353688943,103.93378412383049
363,2021-05-02,ios,90,167,9.889489698952675,24.974696011195192
364,2021-05-03,android,0,27689,467.76860477056675,1928.5035654500216
365,2021-05-03,ios,0,3226,304.896190090964,504.0714611246294
366,2021-05-03,android,1,8027,357.0666554334915,892.812123805008
367,2021-05-03,ios,1,1203,76.7588581633019,232.03739176431554
368,2021-05-03,android,2,5971,211.08084687698107,693.6218613168148
369,2021-05-03,ios,2,928,80.73393687361242,173.7152284211927
370,2021-05-03,android,3,4869,300.1167376383349,776.2328087830592
371,2021-05-03,ios,3,810,202.25978782502824,172.00146198180846
372,2021-05-03,android,4,4146,217.9836590804878,683.3123843738804
373,2021-05-03,ios,4,718,259.4946541564225,151.65232186968478
374,2021-05-03,android,5,3601,266.5413883615381,548.2953744755541
375,2021-05-03,ios,5,622,104.93130018144537,124.11593001404617
376,2021-05-03,android,6,3286,123.68155683345421,480.438865274999
377,2021-05-03,ios,6,587,37.49374916809106,110.84008484415972
378,2021-05-03,android,7,2925,74.56610746889376,385.907018309523
379,2021-05-03,ios,7,546,244.6386730003667,121.44639159013968
380,2021-05-03,android,8,2648,270.56927495791314,595.5703445350637
381,2021-05-03,ios,8,499,128.1414215125171,122.79132072365246
382,2021-05-03,android,9,2521,497.7753377537879,561.6976586710416
383,2021-05-03,ios,9,464,63.695635724258835,98.96121297922423
384,2021-05-03,android,10,2296,125.18826647744466,342.27130317034903
385,2021-05-03,ios,10,440,236.24253628446615,135.86028560710474
386,2021-05-03,android,11,2226,237.8814764535068,318.9333477629324
387,2021-05-03,ios,11,440,200.90187206509268,89.61979198958511
388,2021-05-03,android,12,2105,82.36565127223568,287.0545400291012
389,2021-05-03,ios,12,411,96.22835709345246,84.00588991229961
390,2021-05-03,android,13,2018,124.63801721014573,288.6478213178989
391,2021-05-03,ios,13,387,21.319757783880352,77.07014876469657
392,2021-05-03,android,14,1916,31.837499597164516,225.35289480635652
393,2021-05-03,ios,14,373,27.402362215260744,39.13246090678149
394,2021-05-03,android,15,1799,79.95394605698158,262.62145499374503
395,2021-05-03,ios,15,338,74.92311103956406,46.39535987603085
396,2021-05-03,android,16,1768,75.86466882618059,217.15475952090924
397,2021-05-03,ios,16,325,113.46160763637423,37.62619694676323
398,2021-05-03,android,17,1680,89.22377633261657,225.01656930149215
399,2021-05-03,ios,17,332,94.07051511722435,40.675579073557856
400,2021-05-03,android,18,1631,141.10034874952458,217.60284832141576
401,2021-05-03,ios,18,300,64.0905350007772,44.21110287693409
402,2021-05-03,android,19,1554,57.089055550589556,202.79930704510127
403,2021-05-03,ios,19,306,58.77630717438596,40.051436983088024
404,2021-05-03,android,20,1542,30.30934562277365,192.08656585567599
405,2021-05-03,ios,20,302,8.392999857068062,41.315333008674315
406,2021-05-03,android,21,1483,27.413197798581603,148.99914125151463
407,2021-05-03,ios,21,296,0.0,32.539870991691714
408,2021-05-03,android,22,1361,79.61792971396214,172.81017933527005
409,2021-05-03,ios,22,275,57.7360027963599,39.86112296223837
410,2021-05-03,android,23,1357,75.91672754771346,152.3337522666834
411,2021-05-03,ios,23,271,33.85654679851037,34.838458962432924
412,2021-05-03,android,24,1324,84.05493226930697,167.7984904890327
413,2021-05-03,ios,24,272,5.913465499294281,40.453178032752476
414,2021-05-03,android,25,1284,50.330696048421274,163.58448028275416
415,2021-05-03,ios,25,266,17.525782644958497,36.575791993633175
416,2021-05-03,android,26,1262,76.38751387676436,165.3658910254111
417,2021-05-03,ios,26,256,22.036889484142304,37.8199739985339
418,2021-05-03,android,27,1247,29.066621265521707,149.75774236936013
419,2021-05-03,ios,27,240,52.00615443806643,30.05970897868758
420,2021-05-03,android,28,1186,22.848368588061515,124.64624975301876
421,2021-05-03,ios,28,240,24.90515447932595,21.79199501985113
